,Content,Location,Username,Retweet-Count,Favorites,Created at
0,@SkyNews @KayBurley @kitmalthouse Can you talk about black on black crime? You've failed to mention that men have been charged with conspiracy to murder the BLM activist. If it were a white person this would be all over your timeline.,,HelpfulHarry59,0,0,2021-06-18 06:30:42
1,". @Lauren_Southern  talks to Chrissie Mayr about her journey from College to now, her intellectual and political awakening. Terrible professor experience in college. Riots. BLM. Becoming a YouTube personality."" https://t.co/WiGxsrd4tq","Brisbane, Australia",AnthonyLarme,0,0,2021-06-18 06:30:37
2,"The head of BLM thought so too not so much now from her hospital bed. Watch out Khan you are as safe as the rest of us in in Londonstan because of you it is run by despots in gangs,our streets are filthy and the Islamics yell from Tower Bridge their 13c crap. https://t.co/WKJrXCAz1w","England, United Kingdom",Janet42957897,0,0,2021-06-18 06:30:26
3,"@neatchee @MostlyUseless56 @A_dmg04 @Bungie I guess what was trying to say is that while the BLM stuff may not have inherently started off political, it did end up transitioning into being something political, another example would be climate change, started out as something non political and became political","Massachusetts, USA",lxArmyx,0,0,2021-06-18 06:29:59
4,"@davidjdelaney @lockoutdays In no way, legally or otherwise, does the US Federal Government own the land my house is on. You're reaching here. You could argue, pursuant to state constitution and law the state may have some claim, but not the feds. Sure they own some national parks and BLM land...","Minnesota, Earth",DrJohnnyFever6,0,0,2021-06-18 06:29:59
5,"@neatchee @lxArmyx @A_dmg04 BLM exists as a political activist group with a very real agenda. You can visit their website to see what policies they are pushing and if you agree with them. You can also pledge support for the movement, donate, and volunteer",,MostlyUseless56,0,0,2021-06-18 06:29:39
6,@goku223344 @ABC Really so then why did they vote for a President who literally admitted on Live TV to creating policies that targeted African Americans. Also Hunters emails used N word alot meaning the Bidens are racist. So obviously BLM is doing the exact opposite of what you claim.,,MacroFinance_,0,0,2021-06-18 06:29:14
7,@onlythebrxve94 not blm then the n word,“behind every exquisite thing that existed there was something tragic” - oscar wilde ,ikissylarry,0,0,2021-06-18 06:29:05
8,Portland Police's entire riot squad of 50 RESIGNS after cop was charged with assault for striking 'photographer' during BLM protest https://t.co/dBOTRC5NdK https://t.co/TWf00iRUQg,New York,DailyMail,6,8,2021-06-18 06:28:58
9,"https://t.co/8M46tP0REk

Woke = WEF = cultural technocratic marxism at its worst.

And: BLM = AFA = ER = Soros

#Connect",Utrecht,3Groter,0,0,2021-06-18 06:28:47
